,id,title,uri,tempo,time_sig,key_of,open_key,danceability,acousticness,artist.id,artist.name,artist.uri,artist.genres,artist.from,artist.mbid,album.title,album.uri,album.year,Nartist,Ntitle
306,vgoqV,I'll Sleep When I'm Dead,https://getsongbpm.com/song/i-ll-sleep-when-i-m-dead/vgoqV,124.0,4/4,F,12d,66.0,2.0,M1m3,Bon Jovi,https://getsongbpm.com/artist/bon-jovi/M1m3,"['pop', 'rock']",US,5dcdb5eb-cb72-4e6e-9e63-b7bace604965,Keep the Faith,https://getsongbpm.com/album/keep-the-faith/orJB,1992.0,Bon Jovi,I'll Sleep When I'm Dead
307,wjm9J,In These Arms,https://getsongbpm.com/song/in-these-arms/wjm9J,123.0,4/4,E,5d,51.0,1.0,M1m3,Bon Jovi,https://getsongbpm.com/artist/bon-jovi/M1m3,"['pop', 'rock']",US,5dcdb5eb-cb72-4e6e-9e63-b7bace604965,Keep the Faith,https://getsongbpm.com/album/keep-the-faith/orJB,1992.0,Bon Jovi,In These Arms
308,qo7Ey,It's My Life,https://getsongbpm.com/song/it-s-my-life/qo7Ey,120.0,4/4,Cm,10m,54.0,4.0,M1m3,Bon Jovi,https://getsongbpm.com/artist/bon-jovi/M1m3,"['pop', 'rock']",US,5dcdb5eb-cb72-4e6e-9e63-b7bace604965,Crush,https://getsongbpm.com/album/crush/D9NY,2000.0,Bon Jovi,It's My Life
309,yzo4R,Just Older,https://getsongbpm.com/song/just-older/yzo4R,128.0,4/4,D,3d,51.0,3.0,M1m3,Bon Jovi,https://getsongbpm.com/artist/bon-jovi/M1m3,"['pop', 'rock']",US,5dcdb5eb-cb72-4e6e-9e63-b7bace604965,Crush,https://getsongbpm.com/album/crush/D9NY,2000.0,Bon Jovi,Just Older
310,r0RZw,Keep the Faith,https://getsongbpm.com/song/keep-the-faith/r0RZw,117.0,4/4,Fm,9m,57.0,1.0,M1m3,Bon Jovi,https://getsongbpm.com/artist/bon-jovi/M1m3,"['pop', 'rock']",US,5dcdb5eb-cb72-4e6e-9e63-b7bace604965,Keep the Faith,https://getsongbpm.com/album/keep-the-faith/orJB,1992.0,Bon Jovi,Keep the Faith
311,,,,,,,,,,,,,,,,,,,Bon Jovi,Legendary
312,DqMkoq,Let it Rain,https://getsongbpm.com/song/let-it-rain/DqMkoq,159.0,4/4,A,4d,24.0,8.0,M1m3,Bon Jovi,https://getsongbpm.com/artist/bon-jovi/M1m3,"['pop', 'rock']",US,5dcdb5eb-cb72-4e6e-9e63-b7bace604965,Bon Jovi 2020,https://getsongbpm.com/album/bon-jovi-2020/gGGyr,2020.0,Bon Jovi,Let It Rain
313,x6Zkxq,Limitless,https://getsongbpm.com/song/limitless/x6Zkxq,144.0,4/4,A♯,11d,44.0,1.0,M1m3,Bon Jovi,https://getsongbpm.com/artist/bon-jovi/M1m3,"['pop', 'rock']",US,5dcdb5eb-cb72-4e6e-9e63-b7bace604965,Bon Jovi 2020,https://getsongbpm.com/album/bon-jovi-2020/gGGyr,2020.0,Bon Jovi,Limitless
314,wArwR,Livin' on a Prayer,https://getsongbpm.com/song/livin-on-a-prayer/wArwR,122.0,4/4,Em,2m,54.0,8.0,M1m3,Bon Jovi,https://getsongbpm.com/artist/bon-jovi/M1m3,"['pop', 'rock']",US,5dcdb5eb-cb72-4e6e-9e63-b7bace604965,Slippery When Wet,https://getsongbpm.com/album/slippery-when-wet/X6qrW,1986.0,Bon Jovi,Livin' on a Prayer
315,zKDDz5,Lost Highway,https://getsongbpm.com/song/lost-highway/zKDDz5,125.0,4/4,G,2d,52.0,1.0,M1m3,Bon Jovi,https://getsongbpm.com/artist/bon-jovi/M1m3,"['pop', 'rock']",US,5dcdb5eb-cb72-4e6e-9e63-b7bace604965,Lost Highway,https://getsongbpm.com/album/lost-highway/D8Pv5,2007.0,Bon Jovi,Lost Highway
316,BrKBmN,loWeR The fLaG,https://getsongbpm.com/song/lower-the-flag/BrKBmN,87.0,4/4,C,1d,66.0,72.0,M1m3,Bon Jovi,https://getsongbpm.com/artist/bon-jovi/M1m3,"['pop', 'rock']",US,5dcdb5eb-cb72-4e6e-9e63-b7bace604965,Bon Jovi 2020,https://getsongbpm.com/album/bon-jovi-2020/gGGyr,2020.0,Bon Jovi,Lower the Flag
317,mqxz9G,Roller Coaster,https://getsongbpm.com/song/roller-coaster/mqxz9G,154.0,4/4,Cm,10m,45.0,19.0,M1m3,Bon Jovi,https://getsongbpm.com/artist/bon-jovi/M1m3,"['pop', 'rock']",US,5dcdb5eb-cb72-4e6e-9e63-b7bace604965,This House Is Not for Sale,https://getsongbpm.com/album/this-house-is-not-for-sale/v7ExL,2016.0,Bon Jovi,Roller Coaster
318,,,,,,,,,,,,,,,,,,,Bon Jovi,Someday I'll Be Saturday Night
319,A6JDlP,stORy oF loVE,https://getsongbpm.com/song/story-of-love/A6JDlP,155.0,3/4,Bm,3m,32.0,17.0,M1m3,Bon Jovi,https://getsongbpm.com/artist/bon-jovi/M1m3,"['pop', 'rock']",US,5dcdb5eb-cb72-4e6e-9e63-b7bace604965,Bon Jovi 2020,https://getsongbpm.com/album/bon-jovi-2020/gGGyr,2020.0,Bon Jovi,Story of Love
320,,,,,,,,,,,,,,,,,,,Bon Jovi,The Radio Saved My Life Tonight
321,Og64g,This Ain't a Love Song,https://getsongbpm.com/song/this-ain-t-a-love-song/Og64g,87.0,3/4,E,5d,35.0,10.0,M1m3,Bon Jovi,https://getsongbpm.com/artist/bon-jovi/M1m3,"['pop', 'rock']",US,5dcdb5eb-cb72-4e6e-9e63-b7bace604965,These Days,https://getsongbpm.com/album/these-days/VXm5,1995.0,Bon Jovi,This Ain't a Love Song
322,w0LNqr,This House Is Not for Sale,https://getsongbpm.com/song/this-house-is-not-for-sale/w0LNqr,122.0,4/4,G♯,9d,52.0,1.0,M1m3,Bon Jovi,https://getsongbpm.com/artist/bon-jovi/M1m3,"['pop', 'rock']",US,5dcdb5eb-cb72-4e6e-9e63-b7bace604965,This House Is Not for Sale,https://getsongbpm.com/album/this-house-is-not-for-sale/v7ExL,2016.0,Bon Jovi,This House Is Not for Sale
323,yDXy7,Wanted Dead or Alive,https://getsongbpm.com/song/wanted-dead-or-alive/yDXy7,74.0,4/4,G,2d,26.0,14.0,M1m3,Bon Jovi,https://getsongbpm.com/artist/bon-jovi/M1m3,"['pop', 'rock']",US,5dcdb5eb-cb72-4e6e-9e63-b7bace604965,Slippery When Wet,https://getsongbpm.com/album/slippery-when-wet/X6qrW,1986.0,Bon Jovi,Wanted Dead or Alive
324,P15mRz,We Weren't Born to Follow,https://getsongbpm.com/song/we-weren-t-born-to-follow/P15mRz,123.0,4/4,B,6d,51.0,1.0,M1m3,Bon Jovi,https://getsongbpm.com/artist/bon-jovi/M1m3,"['pop', 'rock']",US,5dcdb5eb-cb72-4e6e-9e63-b7bace604965,The Circle,https://getsongbpm.com/album/the-circle/A8KEO,2009.0,Bon Jovi,We Weren't Born to Follow
325,1w1Q5j,Who Says You Can't Go Home?,https://getsongbpm.com/song/who-says-you-can-t-go-homequestion/1w1Q5j,131.0,4/4,G,2d,54.0,5.0,M1m3,Bon Jovi,https://getsongbpm.com/artist/bon-jovi/M1m3,"['pop', 'rock']",US,5dcdb5eb-cb72-4e6e-9e63-b7bace604965,Have a Nice Day,https://getsongbpm.com/album/have-a-nice-day/D14pY,2005.0,Bon Jovi,Who Says You Can't Go Home
