,artist,title,mbid
62,Arctic Monkeys,Body Paint,54b7a7f8-4020-4b66-b7a0-558a2a73cf15
63,Arctic Monkeys,Brianstorm,a91afd8b-9a64-4f02-ba10-9423594763ba
64,Arctic Monkeys,Cornerstone,b4b24f38-d9d4-4389-9d91-d1fc7d249ae3
65,Arctic Monkeys,Crying Lightning,8e7a50a4-ffd0-4714-b761-88da8adada80
66,Arctic Monkeys,Do I Wanna Know?,4b50f583-81ef-4788-8188-de6b2f96d799
67,Arctic Monkeys,Don't Sit Down 'Cause I've Moved Your Chair,47b85acd-58b7-4f06-82a8-2f657a31d78f
68,Arctic Monkeys,Fireside,9ab8f080-3df6-425a-9b37-79f28e29385d
69,Arctic Monkeys,Fluorescent Adolescent,81285fd0-198d-4047-b2f2-8aa1ba27a85c
70,Arctic Monkeys,Four Out of Five,509742f6-6b34-4dd9-9f8c-d4112e283d4e
71,Arctic Monkeys,From the Ritz to the Rubble,64f0c8f5-cf74-49ca-99be-e423afee1d33
72,Arctic Monkeys,Hello You,3602d0e8-abec-478c-a29d-aa2b55150141
73,Arctic Monkeys,I Bet You Look Good on the Dancefloor,28b4afee-63e8-4ec2-bbc5-7be06ce43dfb
74,Arctic Monkeys,I Wanna Be Yours,36a0cb96-c9ed-4596-968f-0e80e9a8bc41
75,Arctic Monkeys,Knee Socks,4a52eea8-d7cb-4dd2-9b8f-1bc2a534ab1e
76,Arctic Monkeys,Mardy Bum,435e9987-d4ed-42e0-b006-f4d36459098f
77,Arctic Monkeys,One Point Perspective,71613e9d-535a-4a8d-bc6d-1bfc9acc2999
78,Arctic Monkeys,Perfect Sense,1bf473a0-1796-474e-8067-a9981e54118f
79,Arctic Monkeys,Pretty Visitors,bb7aa3e5-ed95-49b3-84d8-7b02e206da21
80,Arctic Monkeys,R U Mine?,d82ce628-1a11-41c7-b9c2-d90ea3a612f5
81,Arctic Monkeys,Sculptures of Anything Goes,0c889f57-0a42-4ec6-bdf9-af435a9ec374
82,Arctic Monkeys,Snap Out of It,83d45145-7d3f-43ce-b0e8-2aefb9d0514f
83,Arctic Monkeys,Star Treatment,c4540caa-9f07-4a2f-a95f-c4a9e7356fd1
84,Arctic Monkeys,Suck It and See,2250bb45-c46a-42f1-804d-fc6dd3fb5557
85,Arctic Monkeys,Teddy Picker,6b3a7328-c9c3-45e5-9d49-149b5f3e4bb4
86,Arctic Monkeys,The Ultracheese,a88328d6-78c0-4c33-b3f6-ce27169ec03c
87,Arctic Monkeys,The View From the Afternoon,5328f905-0b4d-464f-8da7-5a0d87122aff
88,Arctic Monkeys,Tranquility Base Hotel + Casino,5e6711e2-d8cf-403a-8ac5-4994e3f2f9f7
89,Arctic Monkeys,Why'd You Only Call Me When You're High?,7fefa6ba-c32c-4ffa-bc88-af54868f7d80
90,Avenged Sevenfold,(D)eath,9115231c-7df4-4b25-b35a-031e1d688054
91,Avenged Sevenfold,(O)rdinary,7cd1358c-5b0b-4f2c-8169-0f935225038e
92,Avenged Sevenfold,A Little Piece of Heaven,075582f4-a279-41d0-acb8-474bc4e836bd
93,Avenged Sevenfold,Afterlife,896a513d-afdf-427c-aba4-d08b0d85118e
94,Avenged Sevenfold,Almost Easy,a35e5ec4-8c64-44a2-a89d-0b53dd0824d0
95,Avenged Sevenfold,Bat Country,d8e8ccde-8c3b-42f6-9942-726223eeb168
96,Avenged Sevenfold,Beast and the Harlot,64039e09-7fd6-4d08-bb26-619e39136f8d
97,Avenged Sevenfold,Blinded in Chains,225825b9-19d6-4180-b6c0-a4000caa3ddf
98,Avenged Sevenfold,Buried Alive,f6ed093c-baba-4370-89d8-0e03e7490870
99,Avenged Sevenfold,Burn It Down,1f8981af-cd33-4ed8-a057-78816d9e6066
100,Avenged Sevenfold,Chapter Four,a60c3f0c-debe-45d4-9c2d-f9513df37f44
101,Avenged Sevenfold,Cosmic,f18a7a75-f75c-42a4-a819-33d488eecfe5
102,Avenged Sevenfold,Dear God,789ac324-fa20-4861-9e44-d386e4c01aee
103,Avenged Sevenfold,Desecrate Through Reverence,e28a64b1-6ce5-44bd-bc92-a0f11aae987b
104,Avenged Sevenfold,Fiction,9c6545fb-8c04-4d52-8dcc-2e8b76380afd
105,Avenged Sevenfold,G,d9a517ff-dcfd-4f63-9ecd-549888a9c168
